dataset,model,seed,rmse,mae,best_epoch,avg_user_gate,avg_item_gate,std_user_gate,std_item_gate,review_scale,avg_user_cos,avg_item_cos,avg_user_injection_ratio,avg_item_injection_ratio,config_path,checkpoint_path
Amazon_Office_Products_14,Whole-review fusion,44,0.8593971729278564,0.647635817527771,12,1.0,1.0,0.0,0.0,0.10000001639127731,0.5397690534591675,0.7870347499847412,25.75936508178711,12.038813591003418,./outputs/cfarg_Amazon_Office_Products_14_44_20260605_181842/config.yaml,./outputs/cfarg_Amazon_Office_Products_14_44_20260605_181842/cfarg_best.pt
Amazon_Office_Products_14,CFARG-gate-control,44,0.8614590764045715,0.6349306106567383,14,0.965975284576416,0.9812362194061279,0.06915340572595596,0.048678647726774216,0.10000001639127731,0.8474543690681458,0.9198457598686218,35.63472366333008,16.126161575317383,./outputs/cfarg_Amazon_Office_Products_14_44_20260605_181932/config.yaml,./outputs/cfarg_Amazon_Office_Products_14_44_20260605_181932/cfarg_best.pt
Amazon_Digital_Music_14,CF-only,42,0.8984164595603943,0.6588370203971863,100,0.0,0.0,0.0,0.0,0.10000001639127731,0.0,0.0,0.0,0.0,./outputs/cfarg_Amazon_Digital_Music_14_42_20260605_182211/config.yaml,./outputs/cfarg_Amazon_Digital_Music_14_42_20260605_182211/cfarg_best.pt
Amazon_Digital_Music_14,Whole-review fusion,42,0.9044007062911987,0.6660352349281311,15,1.0,1.0,0.0,0.0,0.10000001639127731,0.34665268659591675,0.5295014977455139,23.461252212524414,19.19431495666504,./outputs/cfarg_Amazon_Digital_Music_14_42_20260605_182512/config.yaml,./outputs/cfarg_Amazon_Digital_Music_14_42_20260605_182512/cfarg_best.pt
Amazon_Digital_Music_14,CFARG-gate-control,42,0.9110915660858154,0.6672537326812744,12,0.9423919916152954,0.9649577736854553,0.10771995037794113,0.074491947889328,0.10000001639127731,0.7579684853553772,0.8355675339698792,34.500518798828125,23.572097778320312,./outputs/cfarg_Amazon_Digital_Music_14_42_20260605_182623/config.yaml,./outputs/cfarg_Amazon_Digital_Music_14_42_20260605_182623/cfarg_best.pt
Amazon_Digital_Music_14,CF-only,43,0.8984605073928833,0.6584916710853577,100,0.0,0.0,0.0,0.0,0.10000001639127731,0.0,0.0,0.0,0.0,./outputs/cfarg_Amazon_Digital_Music_14_43_20260605_182918/config.yaml,./outputs/cfarg_Amazon_Digital_Music_14_43_20260605_182918/cfarg_best.pt
Amazon_Digital_Music_14,Whole-review fusion,43,0.9053076505661011,0.6696345210075378,23,1.0,1.0,0.0,0.0,0.10000001639127731,0.2523778975009918,0.4127821922302246,22.613378524780273,20.77691078186035,./outputs/cfarg_Amazon_Digital_Music_14_43_20260605_183213/config.yaml,./outputs/cfarg_Amazon_Digital_Music_14_43_20260605_183213/cfarg_best.pt
Amazon_Digital_Music_14,CFARG-gate-control,43,0.9165690541267395,0.675144374370575,11,0.9387304186820984,0.9681261777877808,0.11808457970619202,0.07438505440950394,0.10000001639127731,0.7742565274238586,0.8731895089149475,32.72700500488281,22.837783813476562,./outputs/cfarg_Amazon_Digital_Music_14_43_20260605_183348/config.yaml,./outputs/cfarg_Amazon_Digital_Music_14_43_20260605_183348/cfarg_best.pt
Amazon_Digital_Music_14,CF-only,44,0.8983927369117737,0.6589030623435974,100,0.0,0.0,0.0,0.0,0.10000001639127731,0.0,0.0,0.0,0.0,./outputs/cfarg_Amazon_Digital_Music_14_44_20260605_183646/config.yaml,./outputs/cfarg_Amazon_Digital_Music_14_44_20260605_183646/cfarg_best.pt
Amazon_Digital_Music_14,Whole-review fusion,44,0.9027471542358398,0.660107433795929,18,1.0,1.0,0.0,0.0,0.10000001639127731,0.288036048412323,0.4407002627849579,24.527202606201172,21.40155029296875,./outputs/cfarg_Amazon_Digital_Music_14_44_20260605_183947/config.yaml,./outputs/cfarg_Amazon_Digital_Music_14_44_20260605_183947/cfarg_best.pt
Amazon_Digital_Music_14,CFARG-gate-control,44,0.9139788746833801,0.6777030825614929,9,0.9558138251304626,0.9743600487709045,0.09719083458185196,0.06282004714012146,0.10000001639127731,0.8345025181770325,0.8967891931533813,26.569860458374023,17.620311737060547,./outputs/cfarg_Amazon_Digital_Music_14_44_20260605_184100/config.yaml,./outputs/cfarg_Amazon_Digital_Music_14_44_20260605_184100/cfarg_best.pt
Amazon_Instant_Video_14,CF-only,42,0.9666232466697693,0.7164030075073242,100,0.0,0.0,0.0,0.0,0.10000000894069672,0.0,0.0,0.0,0.0,./outputs/cfarg_Amazon_Instant_Video_14_42_20260605_200339/config.yaml,./outputs/cfarg_Amazon_Instant_Video_14_42_20260605_200339/cfarg_best.pt
